inventory_id,part_id,airport_id,work_order_id,supplier_id,transaction_type,quantity,transaction_ts,quantity_on_hand_after,unit_cost_usd
IV-000000259,PT-000085,AP-0008,,SU-001,RECEIPT,42,2020-10-23T20:29:54,42,12.6
IV-000000260,PT-000085,AP-0008,WO-000000191,,ISSUE,2,2020-12-13T17:55:25,40,12.6
IV-000000261,PT-000063,AP-0001,,SU-003,RECEIPT,41,2020-09-23T19:45:17,41,15733.69
IV-000000262,PT-000063,AP-0001,WO-000000192,,ISSUE,2,2020-10-21T06:29:56,39,15733.69
IV-000000263,PT-000011,AP-0015,,SU-002,RECEIPT,42,2020-08-08T14:36:32,42,14277.04
IV-000000264,PT-000011,AP-0015,WO-000000194,,ISSUE,3,2020-09-14T10:39:15,39,14277.04
IV-000000265,PT-000104,AP-0015,,SU-003,RECEIPT,6,2020-08-27T19:01:55,6,53.89
IV-000000266,PT-000104,AP-0015,WO-000000195,,ISSUE,2,2020-09-14T10:55:04,4,53.89
IV-000000267,PT-000140,AP-0015,,SU-003,RECEIPT,26,2020-07-18T05:46:49,26,13.08
IV-000000268,PT-000140,AP-0015,WO-000000196,,ISSUE,1,2020-09-14T10:42:12,25,13.08
IV-000000269,PT-000140,AP-0015,,SU-001,RECEIPT,34,2020-09-22T21:23:45,59,13.08
IV-000000270,PT-000118,AP-0015,,SU-003,RECEIPT,34,2020-07-27T23:08:37,34,4245.31
IV-000000271,PT-000118,AP-0015,WO-000000197,,ISSUE,3,2020-09-14T11:22:56,31,4245.31
IV-000000272,PT-000118,AP-0015,,SU-004,RECEIPT,5,2020-09-16T07:51:29,36,4245.31
IV-000000273,PT-000122,AP-0015,,SU-003,RECEIPT,9,2020-07-30T20:57:33,9,15.82
IV-000000274,PT-000122,AP-0015,WO-000000200,,ISSUE,2,2020-09-14T11:21:01,7,15.82
IV-000000275,PT-000153,AP-0013,,SU-002,RECEIPT,56,2001-11-08T23:19:55,56,46.16
IV-000000276,PT-000153,AP-0013,WO-000000203,,ISSUE,3,2001-11-29T00:27:56,53,46.16
IV-000000277,PT-000153,AP-0013,,,ADJUSTMENT,2,2001-11-29T01:27:56,55,46.16
IV-000000278,PT-000153,AP-0013,,SU-002,RECEIPT,5,2001-12-02T18:38:31,60,46.16
IV-000000279,PT-000120,AP-0013,,SU-004,RECEIPT,39,2001-10-10T08:04:36,39,713.55
IV-000000280,PT-000120,AP-0013,WO-000000205,,ISSUE,3,2001-11-29T00:51:19,36,713.55
IV-000000281,PT-000120,AP-0013,,SU-004,RECEIPT,28,2001-12-10T15:35:01,64,713.55
IV-000000282,PT-000094,AP-0010,,SU-001,RECEIPT,27,2020-03-23T07:46:58,27,15857.89
IV-000000283,PT-000094,AP-0010,WO-000000206,,ISSUE,3,2020-04-06T16:09:49,24,15857.89
IV-000000284,PT-000094,AP-0010,,SU-004,RECEIPT,7,2020-04-11T02:50:22,31,15857.89
IV-000000285,PT-000058,AP-0010,,SU-001,RECEIPT,33,2020-02-28T14:07:20,33,52.0
IV-000000286,PT-000058,AP-0010,WO-000000207,,ISSUE,2,2020-04-06T17:01:59,31,52.0
IV-000000287,PT-000120,AP-0011,,SU-001,RECEIPT,56,2022-01-09T05:11:50,56,713.55
IV-000000288,PT-000120,AP-0011,WO-000000210,,ISSUE,3,2022-02-18T15:06:44,53,713.55
IV-000000289,PT-000005,AP-0003,,SU-001,RECEIPT,49,2015-03-12T09:20:02,49,630.13
IV-000000290,PT-000005,AP-0003,WO-000000211,,ISSUE,2,2015-05-07T20:10:36,47,630.13
IV-000000291,PT-000140,AP-0012,,SU-001,RECEIPT,23,2020-01-10T09:23:30,23,13.08
IV-000000292,PT-000140,AP-0012,WO-000000214,,ISSUE,3,2020-01-26T07:39:54,20,13.08
IV-000000293,PT-000140,AP-0012,,SU-002,RECEIPT,7,2020-02-03T08:34:33,27,13.08
IV-000000294,PT-000039,AP-0015,,SU-002,RECEIPT,6,2016-04-18T23:25:49,6,32.98
IV-000000295,PT-000039,AP-0015,WO-000000219,,ISSUE,2,2016-05-02T19:56:51,4,32.98
IV-000000296,PT-000039,AP-0015,,SU-003,RECEIPT,39,2016-05-10T13:04:01,43,32.98
IV-000000297,PT-000023,AP-0007,,SU-002,RECEIPT,48,2012-04-13T23:22:29,48,11.21
IV-000000298,PT-000023,AP-0007,WO-000000222,,ISSUE,1,2012-06-09T12:35:16,47,11.21
IV-000000299,PT-000035,AP-0015,,SU-002,RECEIPT,42,2008-07-27T08:15:11,42,20453.55
IV-000000300,PT-000035,AP-0015,WO-000000223,,ISSUE,1,2008-09-22T14:20:45,41,20453.55
IV-000000301,PT-000069,AP-0015,,SU-003,RECEIPT,58,2023-12-21T14:15:27,58,24.09
IV-000000302,PT-000069,AP-0015,WO-000000225,,ISSUE,1,2024-01-23T04:07:10,57,24.09
IV-000000303,PT-000063,AP-0015,,SU-002,RECEIPT,54,2023-11-30T03:35:42,54,15733.69
IV-000000304,PT-000063,AP-0015,WO-000000226,,ISSUE,3,2024-01-23T04:05:51,51,15733.69
IV-000000305,PT-000018,AP-0015,,SU-004,RECEIPT,37,2023-12-18T00:22:41,37,919.59
IV-000000306,PT-000018,AP-0015,WO-000000227,,ISSUE,1,2024-01-23T05:00:53,36,919.59
IV-000000307,PT-000018,AP-0015,,SU-002,RECEIPT,17,2024-01-27T15:05:22,53,919.59
IV-000000308,PT-000106,AP-0013,,SU-002,RECEIPT,57,2016-12-03T17:32:11,57,11.87
IV-000000309,PT-000106,AP-0013,WO-000000228,,ISSUE,3,2017-01-01T16:04:01,54,11.87
IV-000000310,PT-000079,AP-0004,,SU-004,RECEIPT,35,2023-10-08T14:12:35,35,13.42
IV-000000311,PT-000079,AP-0004,WO-000000233,,ISSUE,2,2023-10-14T19:53:23,33,13.42
IV-000000312,PT-000079,AP-0004,,SU-004,RECEIPT,22,2023-10-21T13:34:32,55,13.42
IV-000000313,PT-000062,AP-0002,,SU-004,RECEIPT,39,2014-05-22T22:21:16,39,57.82
IV-000000314,PT-000062,AP-0002,WO-000000236,,ISSUE,2,2015-06-10T06:59:17,37,57.82
IV-000000315,PT-000062,AP-0002,,SU-003,RECEIPT,7,2015-06-15T07:33:41,44,57.82
IV-000000316,PT-000134,AP-0008,,SU-002,RECEIPT,55,2002-01-20T15:05:51,55,7670.47
IV-000000317,PT-000134,AP-0008,WO-000000237,,ISSUE,3,2002-02-19T21:25:14,52,7670.47
IV-000000318,PT-000134,AP-0008,,SU-002,RECEIPT,26,2002-02-24T23:50:33,78,7670.47
IV-000000319,PT-000080,AP-0015,,SU-002,RECEIPT,18,2004-07-19T19:03:17,18,32.02
IV-000000320,PT-000080,AP-0015,WO-000000242,,ISSUE,1,2004-08-19T07:37:57,17,32.02
IV-000000321,PT-000080,AP-0015,,SU-001,RECEIPT,15,2004-08-25T21:01:47,32,32.02
IV-000000322,PT-000109,AP-0005,,SU-004,RECEIPT,49,2017-05-27T05:07:14,49,14188.29
IV-000000323,PT-000109,AP-0005,WO-000000244,,ISSUE,1,2017-07-10T09:35:05,48,14188.29
IV-000000324,PT-000134,AP-0005,,SU-004,RECEIPT,8,2009-08-11T07:56:11,8,7670.47
IV-000000325,PT-000134,AP-0005,WO-000000245,,ISSUE,1,2009-09-24T11:11:36,7,7670.47
IV-000000326,PT-000070,AP-0010,,SU-003,RECEIPT,21,2005-02-11T09:25:51,21,44.48
IV-000000327,PT-000070,AP-0010,WO-000000249,,ISSUE,3,2005-03-03T21:42:12,18,44.48
IV-000000328,PT-000009,AP-0005,,SU-001,RECEIPT,12,2018-02-06T05:03:59,12,29.78
IV-000000329,PT-000009,AP-0005,WO-000000251,,ISSUE,3,2018-03-13T00:33:46,9,29.78
IV-000000330,PT-000079,AP-0005,,SU-003,RECEIPT,48,2018-01-19T07:49:04,48,13.42
IV-000000331,PT-000079,AP-0005,WO-000000252,,ISSUE,3,2018-03-13T00:57:00,45,13.42
IV-000000332,PT-000028,AP-0005,,SU-004,RECEIPT,16,2018-01-21T15:43:58,16,42.95
IV-000000333,PT-000028,AP-0005,WO-000000253,,ISSUE,3,2018-03-13T01:26:30,13,42.95
IV-000000334,PT-000126,AP-0006,,SU-002,RECEIPT,46,2021-01-25T16:03:24,46,19.6
IV-000000335,PT-000126,AP-0006,WO-000000254,,ISSUE,3,2021-03-09T02:59:06,43,19.6
IV-000000336,PT-000052,AP-0003,,SU-002,RECEIPT,41,2025-06-20T00:27:06,41,12.03
IV-000000337,PT-000052,AP-0003,WO-000000255,,ISSUE,1,2025-08-06T17:00:46,40,12.03
IV-000000338,PT-000048,AP-0010,,SU-002,RECEIPT,54,2023-01-19T04:15:51,54,33.81
IV-000000339,PT-000048,AP-0010,WO-000000256,,ISSUE,3,2023-03-16T20:51:59,51,33.81
IV-000000340,PT-000031,AP-0011,,SU-004,RECEIPT,30,2013-02-15T16:18:23,30,2267.78
IV-000000341,PT-000031,AP-0011,WO-000000258,,ISSUE,1,2013-03-04T13:25:19,29,2267.78
IV-000000342,PT-000031,AP-0011,,SU-001,RECEIPT,38,2013-03-05T01:25:19,67,2267.78
IV-000000343,PT-000080,AP-0008,,SU-004,RECEIPT,32,2005-03-28T22:50:35,32,32.02
IV-000000344,PT-000080,AP-0008,WO-000000260,,ISSUE,3,2005-04-27T12:39:13,29,32.02
IV-000000345,PT-000084,AP-0008,,SU-001,RECEIPT,52,2005-03-16T00:52:51,52,1419.05
IV-000000346,PT-000084,AP-0008,WO-000000261,,ISSUE,2,2005-04-27T13:18:20,50,1419.05
IV-000000347,PT-000084,AP-0008,,SU-001,RECEIPT,29,2005-05-10T16:17:56,79,1419.05
IV-000000348,PT-000049,AP-0010,,SU-003,RECEIPT,20,2024-02-22T00:17:47,20,40.4
IV-000000349,PT-000049,AP-0010,WO-000000263,,ISSUE,3,2024-03-06T01:01:09,17,40.4
IV-000000350,PT-000049,AP-0010,,SU-004,RECEIPT,12,2024-03-11T13:24:32,29,40.4
IV-000000351,PT-000098,AP-0010,,SU-003,RECEIPT,56,2024-01-09T04:34:21,56,44.51
IV-000000352,PT-000098,AP-0010,WO-000000264,,ISSUE,1,2024-03-06T02:18:41,55,44.51
IV-000000353,PT-000085,AP-0006,,SU-002,RECEIPT,48,2011-11-15T16:39:04,48,12.6
IV-000000354,PT-000085,AP-0006,WO-000000265,,ISSUE,3,2011-12-10T06:42:50,45,12.6
IV-000000355,PT-000085,AP-0006,,SU-002,RECEIPT,5,2011-12-15T05:38:23,50,12.6
IV-000000356,PT-000072,AP-0006,,SU-003,RECEIPT,58,2011-11-05T08:00:06,58,9536.45
IV-000000357,PT-000072,AP-0006,WO-000000266,,ISSUE,2,2011-12-10T07:20:06,56,9536.45
IV-000000358,PT-000011,AP-0007,,SU-001,RECEIPT,28,2020-03-27T05:21:58,28,14277.04
IV-000000359,PT-000011,AP-0007,WO-000000269,,ISSUE,3,2020-05-02T09:50:19,25,14277.04
IV-000000360,PT-000011,AP-0007,,SU-003,RECEIPT,5,2020-05-12T01:32:03,30,14277.04
IV-000000361,PT-000039,AP-0007,,SU-003,RECEIPT,52,2020-03-21T13:10:38,52,32.98
IV-000000362,PT-000039,AP-0007,WO-000000270,,ISSUE,1,2020-05-02T10:14:16,51,32.98
IV-000000363,PT-000039,AP-0007,,SU-001,RECEIPT,36,2020-05-06T10:59:43,87,32.98
IV-000000364,PT-000004,AP-0007,,SU-001,RECEIPT,32,2020-04-14T23:16:55,32,6.28
IV-000000365,PT-000004,AP-0007,WO-000000275,,ISSUE,1,2020-05-02T09:57:34,31,6.28
IV-000000366,PT-000138,AP-0014,,SU-001,RECEIPT,6,2013-02-12T06:04:52,6,19.68
IV-000000367,PT-000138,AP-0014,WO-000000280,,ISSUE,2,2013-02-19T01:29:34,4,19.68
IV-000000368,PT-000013,AP-0008,,SU-004,RECEIPT,18,2011-05-14T05:05:47,18,3457.77
IV-000000369,PT-000013,AP-0008,WO-000000282,,ISSUE,2,2011-05-24T10:01:38,16,3457.77
IV-000000370,PT-000095,AP-0008,,SU-003,RECEIPT,35,2011-04-27T11:29:39,35,5149.21
IV-000000371,PT-000095,AP-0008,WO-000000283,,ISSUE,3,2011-05-24T10:10:57,32,5149.21
IV-000000372,PT-000095,AP-0008,,SU-001,RECEIPT,7,2011-05-28T22:40:29,39,5149.21
IV-000000373,PT-000123,AP-0008,,SU-001,RECEIPT,52,2011-05-11T19:28:07,52,12348.67
IV-000000374,PT-000123,AP-0008,WO-000000286,,ISSUE,3,2011-05-24T10:25:13,49,12348.67
IV-000000375,PT-000046,AP-0008,,SU-001,RECEIPT,22,2011-03-25T19:32:52,22,33.81
IV-000000376,PT-000046,AP-0008,WO-000000287,,ISSUE,2,2011-05-24T10:52:56,20,33.81
IV-000000377,PT-000154,AP-0008,,SU-003,RECEIPT,12,2011-05-01T10:04:12,12,6011.07
IV-000000378,PT-000154,AP-0008,WO-000000288,,ISSUE,1,2011-05-24T11:13:19,11,6011.07
IV-000000379,PT-000154,AP-0008,,SU-002,RECEIPT,37,2011-05-24T23:13:19,48,6011.07
IV-000000380,PT-000055,AP-0008,,SU-003,RECEIPT,9,2011-05-18T02:01:48,9,12.4
IV-000000381,PT-000055,AP-0008,WO-000000289,,ISSUE,3,2011-05-24T10:45:14,6,12.4
IV-000000382,PT-000070,AP-0014,,SU-002,RECEIPT,56,2007-11-16T06:21:32,56,44.48
IV-000000383,PT-000070,AP-0014,WO-000000290,,ISSUE,3,2007-12-07T07:54:06,53,44.48
IV-000000384,PT-000116,AP-0014,,SU-004,RECEIPT,59,2007-10-29T14:31:12,59,18891.67
IV-000000385,PT-000116,AP-0014,WO-000000291,,ISSUE,1,2007-12-07T07:54:46,58,18891.67
IV-000000386,PT-000067,AP-0010,,SU-001,RECEIPT,12,2010-12-17T18:40:31,12,13.84
IV-000000387,PT-000067,AP-0010,WO-000000293,,ISSUE,1,2011-01-09T19:58:00,11,13.84
IV-000000388,PT-000067,AP-0010,,SU-003,RECEIPT,35,2011-01-17T18:42:00,46,13.84
IV-000000389,PT-000114,AP-0011,,SU-002,RECEIPT,53,2021-10-03T20:18:37,53,872.97
IV-000000390,PT-000114,AP-0011,WO-000000294,,ISSUE,1,2021-11-27T07:15:04,52,872.97
IV-000000391,PT-000009,AP-0003,,SU-001,RECEIPT,23,2017-03-28T06:32:48,23,29.78
IV-000000392,PT-000009,AP-0003,WO-000000298,,ISSUE,1,2017-04-19T23:17:16,22,29.78
IV-000000393,PT-000083,AP-0015,,SU-002,RECEIPT,16,2006-04-28T06:05:26,16,17.96
IV-000000394,PT-000083,AP-0015,WO-000000299,,ISSUE,2,2006-05-20T19:11:59,14,17.96
IV-000000395,PT-000083,AP-0015,,SU-004,RECEIPT,27,2006-05-25T00:05:44,41,17.96
IV-000000396,PT-000071,AP-0008,,SU-002,RECEIPT,36,2009-06-15T01:51:57,36,44.04
IV-000000397,PT-000071,AP-0008,WO-000000300,,ISSUE,2,2009-07-05T03:03:19,34,44.04
IV-000000398,PT-000093,AP-0008,,SU-001,RECEIPT,48,2009-06-06T18:52:41,48,36.12
IV-000000399,PT-000093,AP-0008,WO-000000301,,ISSUE,1,2009-07-05T02:52:38,47,36.12
IV-000000400,PT-000056,AP-0014,,SU-003,RECEIPT,21,2018-06-29T16:13:26,21,46.89
IV-000000401,PT-000056,AP-0014,WO-000000304,,ISSUE,1,2018-08-08T09:28:10,20,46.89
IV-000000402,PT-000067,AP-0001,,SU-004,RECEIPT,25,2021-09-21T08:28:42,25,13.84
IV-000000403,PT-000067,AP-0001,WO-000000306,,ISSUE,3,2021-10-20T16:40:43,22,13.84
IV-000000404,PT-000067,AP-0001,,SU-002,RECEIPT,8,2021-10-30T00:57:16,30,13.84
IV-000000405,PT-000060,AP-0001,,SU-003,RECEIPT,53,2021-09-05T07:57:03,53,27.61
IV-000000406,PT-000060,AP-0001,WO-000000307,,ISSUE,3,2021-10-20T16:34:21,50,27.61
IV-000000407,PT-000060,AP-0001,,SU-001,RECEIPT,25,2021-10-25T14:47:02,75,27.61
IV-000000408,PT-000012,AP-0005,,SU-004,RECEIPT,29,2015-06-11T19:14:20,29,3446.41
IV-000000409,PT-000012,AP-0005,WO-000000309,,ISSUE,1,2015-08-03T12:42:32,28,3446.41
IV-000000410,PT-000092,AP-0003,,SU-003,RECEIPT,23,2019-02-18T06:09:42,23,33.3
IV-000000411,PT-000092,AP-0003,WO-000000311,,ISSUE,2,2019-03-31T14:21:50,21,33.3
IV-000000412,PT-000070,AP-0003,,SU-001,RECEIPT,40,2019-03-08T08:15:19,40,44.48
IV-000000413,PT-000070,AP-0003,WO-000000312,,ISSUE,1,2019-03-31T14:30:32,39,44.48
IV-000000414,PT-000080,AP-0014,,SU-002,RECEIPT,25,2018-03-08T11:01:38,25,32.02
IV-000000415,PT-000080,AP-0014,WO-000000314,,ISSUE,3,2018-04-22T13:07:11,22,32.02
IV-000000416,PT-000143,AP-0014,,SU-002,RECEIPT,29,2025-07-02T00:27:04,29,38.0
IV-000000417,PT-000143,AP-0014,WO-000000316,,ISSUE,2,2025-08-16T15:51:36,27,38.0
IV-000000418,PT-000111,AP-0011,,SU-004,RECEIPT,40,2017-10-07T23:41:20,40,25.89
IV-000000419,PT-000111,AP-0011,WO-000000317,,ISSUE,2,2017-10-14T22:59:02,38,25.89
IV-000000420,PT-000111,AP-0011,,SU-001,RECEIPT,14,2017-10-19T23:12:25,52,25.89
IV-000000421,PT-000033,AP-0009,,SU-001,RECEIPT,57,2022-04-03T21:56:42,57,28.36
IV-000000422,PT-000033,AP-0009,WO-000000325,,ISSUE,3,2022-05-08T03:05:42,54,28.36
IV-000000423,PT-000050,AP-0010,,SU-001,RECEIPT,56,2009-11-26T19:55:31,56,20.22
IV-000000424,PT-000050,AP-0010,WO-000000326,,ISSUE,1,2010-01-21T00:18:11,55,20.22
IV-000000425,PT-000049,AP-0012,,SU-004,RECEIPT,32,2004-09-15T21:04:32,32,40.4
IV-000000426,PT-000049,AP-0012,WO-000000328,,ISSUE,3,2004-10-18T05:00:07,29,40.4
IV-000000427,PT-000044,AP-0012,,SU-001,RECEIPT,14,2002-06-11T11:51:30,14,17.26
IV-000000428,PT-000044,AP-0012,WO-000000331,,ISSUE,3,2002-06-28T02:49:34,11,17.26
IV-000000429,PT-000044,AP-0012,,SU-004,RECEIPT,21,2002-06-30T18:13:34,32,17.26
IV-000000430,PT-000085,AP-0007,,SU-003,RECEIPT,21,2004-01-30T20:42:32,21,12.6
IV-000000431,PT-000085,AP-0007,WO-000000333,,ISSUE,1,2004-02-09T00:30:20,20,12.6
IV-000000432,PT-000085,AP-0007,,SU-002,RECEIPT,7,2004-02-20T17:50:49,27,12.6
IV-000000433,PT-000080,AP-0007,,SU-002,RECEIPT,42,2003-12-13T16:48:13,42,32.02
IV-000000434,PT-000080,AP-0007,WO-000000334,,ISSUE,2,2004-02-09T00:29:06,40,32.02
IV-000000435,PT-000121,AP-0007,,SU-003,RECEIPT,9,2004-02-02T16:34:02,9,14.66
IV-000000436,PT-000121,AP-0007,WO-000000335,,ISSUE,1,2004-02-09T00:59:34,8,14.66
IV-000000437,PT-000069,AP-0007,,SU-002,RECEIPT,44,2004-01-03T14:05:50,44,24.09
IV-000000438,PT-000069,AP-0007,WO-000000336,,ISSUE,1,2004-02-09T01:12:37,43,24.09
IV-000000439,PT-000149,AP-0007,,SU-001,RECEIPT,41,2003-12-28T13:08:16,41,15.1
IV-000000440,PT-000149,AP-0007,WO-000000337,,ISSUE,1,2004-02-09T00:31:47,40,15.1
IV-000000441,PT-000145,AP-0007,,SU-001,RECEIPT,39,2004-01-09T01:41:31,39,5771.08
IV-000000442,PT-000145,AP-0007,WO-000000338,,ISSUE,3,2004-02-09T01:35:13,36,5771.08
IV-000000443,PT-000145,AP-0007,,SU-002,RECEIPT,5,2004-02-17T13:29:43,41,5771.08
IV-000000444,PT-000056,AP-0009,,SU-001,RECEIPT,54,2014-10-25T06:45:33,54,46.89
IV-000000445,PT-000056,AP-0009,WO-000000340,,ISSUE,3,2014-12-18T13:24:09,51,46.89
IV-000000446,PT-000116,AP-0011,,SU-003,RECEIPT,35,2007-06-23T00:10:51,35,18891.67
IV-000000447,PT-000116,AP-0011,WO-000000341,,ISSUE,1,2007-08-15T17:24:45,34,18891.67
IV-000000448,PT-000005,AP-0011,,SU-003,RECEIPT,7,2007-06-24T11:34:59,7,630.13
IV-000000449,PT-000005,AP-0011,WO-000000343,,ISSUE,1,2007-08-15T17:30:54,6,630.13
IV-000000450,PT-000085,AP-0013,,SU-001,RECEIPT,17,2018-11-22T19:02:57,17,12.6
IV-000000451,PT-000085,AP-0013,WO-000000344,,ISSUE,1,2018-12-26T06:29:54,16,12.6
IV-000000452,PT-000085,AP-0013,,SU-003,RECEIPT,7,2018-12-28T21:28:15,23,12.6
IV-000000453,PT-000048,AP-0014,,SU-002,RECEIPT,32,2025-03-16T04:42:52,32,33.81
IV-000000454,PT-000048,AP-0014,WO-000000347,,ISSUE,2,2025-03-26T13:15:59,30,33.81
IV-000000455,PT-000104,AP-0003,,SU-001,RECEIPT,52,2021-03-17T13:34:53,52,53.89
IV-000000456,PT-000104,AP-0003,WO-000000351,,ISSUE,3,2021-05-09T02:15:13,49,53.89
IV-000000457,PT-000154,AP-0003,,SU-002,RECEIPT,46,2021-03-16T02:29:18,46,6011.07
IV-000000458,PT-000154,AP-0003,WO-000000352,,ISSUE,1,2021-05-09T01:57:27,45,6011.07
IV-000000459,PT-000144,AP-0007,,SU-004,RECEIPT,30,2025-10-22T02:53:10,30,35.96
IV-000000460,PT-000144,AP-0007,WO-000000353,,ISSUE,1,2025-11-13T20:06:52,29,35.96
IV-000000461,PT-000039,AP-0001,,SU-002,RECEIPT,10,2020-07-18T10:06:02,10,32.98
IV-000000462,PT-000039,AP-0001,WO-000000354,,ISSUE,1,2020-08-05T23:06:38,9,32.98
IV-000000463,PT-000125,AP-0011,,SU-004,RECEIPT,45,2024-07-28T10:09:46,45,16.83
IV-000000464,PT-000125,AP-0011,WO-000000355,,ISSUE,3,2024-09-02T04:28:56,42,16.83
IV-000000208-DUP0,PT-000076,AP-0011,,SU-002,RECEIPT,5,2021-08-05T22:58:34,5,1298.89
